"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
" 21","2022-08-13 05:53:56","2022-08-13","해외지국","20220813V32128","워싱턴_광장_김기현_온마이크 및 스케치_수신본","","","","00:00:51:27","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-27","","토요일","0","없음","2022-08-13 05:50:43","","","","2022-08-13 05:50:43","","","대기","대기","2022-08-13 05:53:22","2022-08-13 05:53:56","2022-08-13 05:53:57","2022-08-13 05:53:57","","","","","","","대기","대기","","","","","None","","","","15802776","15802777","mamex\mamex","29.97","2022-08-13 05:50:43","","아니오","아니오","","","","대기",
" 22","2022-08-12 18:02:13","2022-08-12","해외지국","20220812V30976","베이징_외교부 대변인 정례브리핑 0812_수신본","","","왕원빈","00:20:25:25","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 17:39:25","","","","2022-08-12 17:39:25","","","대기","대기","2022-08-12 18:01:05","2022-08-12 18:02:16","2022-08-12 18:02:16","2022-08-12 18:02:16","","","","","","","대기","대기","","","","","None","","","","15800412","15800413","mamex\mamex","29.97","2022-08-12 17:39:25","","아니오","아니오","","","","대기",
" 23","2022-08-12 15:52:20","2022-08-12","해외지국","20220812V30760","베이징_14일 21시_김민성_오디오_수신본","","","오디오 편집","00:01:30:22","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 15:48:29","","","","2022-08-12 15:48:29","","","대기","대기","2022-08-12 15:51:48","2022-08-12 15:52:22","2022-08-12 15:52:23","2022-08-12 15:52:23","","","","","","","대기","대기","","","","","None","","","","15799865","15799866","mamex\mamex","29.97","2022-08-12 15:48:29","","아니오","아니오","","","","대기",
" 24","2022-08-12 14:08:39","2022-08-12","해외지국","20220812V30464","베이징_김민성_샤먼 맹그로브 영상_수신본","","","","00:01:45:04","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 13:50:29","","","","2022-08-12 13:50:29","","","대기","대기","2022-08-12 13:54:00","2022-08-12 14:08:41","2022-08-12 13:54:38","2022-08-12 13:54:38","","","","","","","대기","대기","","","","","None","","","","15799181","15799182","mamex\mamex","29.97","2022-08-12 13:50:29","","아니오","아니오","","","","대기",
" 25","2022-08-11 19:12:24","2022-08-11","해외지국","20220811V28809","베이징_외교부 대변인 정례브리핑 0811_수신본","","","왕원빈","00:35:10:21","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 18:35:14","","","","2022-08-11 18:35:14","","","대기","대기","2022-08-11 19:11:39","2022-08-11 19:12:27","2022-08-11 19:12:27","2022-08-11 19:12:27","","","","","","","대기","대기","","","","","None","","","","15795594","15795595","mamex\mamex","29.97","2022-08-11 18:35:14","","아니오","아니오","","","","대기",
" 26","2022-08-11 16:29:56","2022-08-11","해외지국","20220811V28410","베이징_김민성_샤먼 맹그로브 05_수신본","김민성","이창준","","00:13:01:21","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 16:14:56","","","","2022-08-11 16:14:56","","","대기","대기","2022-08-11 16:28:45","2022-08-11 16:29:59","2022-08-11 16:30:08","2022-08-11 16:30:08","","","","","","","대기","대기","","","","","None","","","","15794666","15794667","mamex\mamex","29.97","2022-08-11 16:14:56","","아니오","아니오","","","","대기",
" 27","2022-08-11 16:14:49","2022-08-11","해외지국","20220811V28333","베이징_김민성_샤먼 맹그로브(제공영상 사진) 04_수신본","김민성","이창준","","00:21:36:21","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 15:50:51","","","","2022-08-11 15:50:51","","","대기","대기","2022-08-11 16:13:38","2022-08-11 16:14:51","2022-08-11 16:14:55","2022-08-11 16:14:55","","","","","","","대기","대기","","","","","None","","","","15794499","15794500","mamex\mamex","29.97","2022-08-11 15:50:51","","아니오","아니오","","","","대기",
" 28","2022-08-11 15:28:07","2022-08-11","해외지국","20220811V28218","베이징_김민성_샤먼 맹그로브 인터뷰 및 녹취 03_수신본","김민성","이창준","-중국 푸젠성 샤먼시 -쉬에쯔용 푸젠성 장저우시 룽하이구 임업 고급 엔지니어 인터뷰 -궈지엔중 푸젠성 장저우시 룽하이구 푸궁진 조림녹화사업팀 팀장 인터뷰 -리우이 중국 맹그로브 숲 보호 연맹 대표 인터뷰 -좡여사 샤먼 시민 인터뷰 -낚시하는 사람 녹취","00:22:44:29","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 15:02:56","","","","2022-08-11 15:02:56","","","대기","대기","2022-08-11 15:26:28","2022-08-11 15:28:09","2022-08-11 15:28:09","2022-08-11 15:28:09","","","","","","","대기","대기","","","","","None","","","","15794222","15794223","mamex\mamex","29.97","2022-08-11 15:02:56","","아니오","아니오","","","","대기",
" 29","2022-08-11 13:52:20","2022-08-11","해외지국","20220811V28008","베이징_김민성_샤먼 맹그로브 02_드론_수신본","김민성","이창준","-중국 푸젠성 샤먼시 -중국 푸젠성 샤먼시 맹그로브 복원 현장 스케치 -드론 스케치","00:44:03:25","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 13:05:54","","","","2022-08-11 13:05:54","","","대기","대기","2022-08-11 13:50:47","2022-08-11 13:52:22","2022-08-11 13:52:23","2022-08-11 13:52:23","","","","","","","대기","대기","","","","","None","","","","15793746","15793747","mamex\mamex","29.97","2022-08-11 13:05:54","","아니오","아니오","","","","대기",
" 30","2022-08-11 11:53:24","2022-08-11","해외지국","20220811V27850","베이징_김민성_샤먼 맹그로브 스케치 및 온마이크 01_수신본","김민성","이창준","-중국 푸젠성 샤먼시 -중국 푸젠성 샤먼시 맹그로브 복원 스케치 -김민성 취재기자 온마이크","00:36:03:00","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 11:11:52","","","","2022-08-11 11:11:52","","","대기","대기","2022-08-11 11:48:41","2022-08-11 11:53:25","2022-08-11 11:50:22","2022-08-11 11:50:22","","","","","","","대기","대기","","","","","None","","","","15793405","15793406","mamex\mamex","29.97","2022-08-11 11:11:52","","아니오","아니오","","","","대기",
" 31","2022-08-11 07:26:51","2022-08-11","해외지국","20220811V27459","뉴욕_한보경_삼성 갤럭시 플립 타임스스퀘어 광고 BTS_수신본","","","","00:05:43:22","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 07:18:47","","","","2022-08-11 07:18:47","","","대기","대기","2022-08-11 07:25:15","2022-08-11 07:26:52","2022-08-11 07:26:54","2022-08-11 07:26:54","","","","","2022-08-11 09:21:05","2022-08-11 09:21:17","대기","대기","","","","","None","","","","15792593","15792594","mamex\mamex","29.97","2022-08-11 07:18:47","","예","아니오","","","","대기",
" 32","2022-08-11 03:15:29","2022-08-11","해외지국","20220811V27210","뉴욕_한보경_뉴저지 주유소 스케치 및 일반인 인터뷰_수신본","","","","00:08:56:08","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 03:04:12","","","","2022-08-11 03:04:12","","","대기","대기","2022-08-11 03:14:21","2022-08-11 03:15:29","2022-08-11 03:15:31","2022-08-11 03:15:31","","","","","","","대기","대기","","","","","None","","","","15792073","15792074","mamex\mamex","29.97","2022-08-11 03:04:12","","아니오","아니오","","","","대기",
" 33","2022-08-10 19:04:01","2022-08-10","해외지국","20220810V26456","베이징_외교부 대변인 정례브리핑 0810_수신본","","","왕원빈","00:20:14:25","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-24","","수요일","0","없음","2022-08-10 18:41:25","","","","2022-08-10 18:41:25","","","대기","대기","2022-08-10 19:02:51","2022-08-10 19:04:04","2022-08-10 19:04:04","2022-08-10 19:04:04","","","","","","","대기","대기","","","","","None","","","","15790340","15790341","mamex\mamex","29.97","2022-08-10 18:41:25","","아니오","아니오","","","","대기",
" 34","2022-08-10 15:05:25","2022-08-10","해외지국","20220810V25829","베이징_김민성_백두산 산사태_수신본","","","","00:01:31:28","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-24","","수요일","0","없음","2022-08-10 15:01:33","","","","2022-08-10 15:01:33","","","대기","대기","2022-08-10 15:04:53","2022-08-10 15:05:28","2022-08-10 15:05:28","2022-08-10 15:05:28","","","","","2022-08-11 09:21:12","2022-08-11 09:21:18","대기","대기","","","","","None","","","","15788967","15788968","mamex\mamex","29.97","2022-08-10 15:01:33","","예","아니오","","","","대기",
