"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
" 74","2022-07-24 12:42:19","2022-07-24","해외지국","20220724V94764","워싱턴_이정민_존 매더 나사 선임 과학자 화상 인터뷰 1_웹하드_원본영상","","","","00:22:57:01","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-07","","일요일","0","없음","2022-07-24 12:42:14","","","","2022-07-24 12:42:14","","","대기","대기","2022-07-24 12:48:48","2022-07-24 12:55:04","2022-07-24 12:56:15","2022-07-24 12:56:16","","","","","","","대기","대기","","","","","None","","","","15721841","15721842","mamex\mamex","29.97","2022-07-24 12:42:14","","아니오","아니오","","","","대기",
" 75","2022-07-22 18:17:48","2022-07-22","해외지국","20220722V92676","방콕_김원장_동남아 코로나 확산세 인터뷰 및 온마이크_웹하드_원본영상","","","인터뷰+온마이크 ","00:01:22;06","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-05","","금요일","0","없음","2022-07-22 18:16:38","","","","2022-07-22 18:16:38","","","대기","대기","2022-07-22 18:17:37","2022-07-22 18:17:51","2022-07-22 18:17:52","2022-07-22 18:17:52","","","","","","","대기","대기","","","","","None","","","","15717517","15717518","mamex\mamex","29.97","2022-07-22 18:16:38","","아니오","아니오","","","","대기",
" 76","2022-07-22 11:33:22","2022-07-22","해외지국","20220722V91872","도쿄_12시_지종익_밑그림_웹하드_원본영상","지종익","","","00:03:44;29","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-05","","금요일","0","없음","2022-07-22 11:30:18","","","","2022-07-22 11:30:18","","","대기","대기","2022-07-22 11:33:16","2022-07-22 11:33:23","2022-07-22 11:33:24","2022-07-22 11:33:24","","","","","","","대기","대기","","","","","None","","","","15715677","15715678","mamex\mamex","29.97","2022-07-22 11:30:18","","아니오","아니오","","","","대기",
" 77","2022-07-22 01:58:46","2022-07-22","해외지국","20220722V91028","수정_20220711_두바이_우수경_케냐 스케치1_웹하드_원본영상","","","","00:06:52;26","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","중복영상","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-05","","금요일","0","없음","2022-07-22 01:53:38","","","","2022-07-22 01:53:38","","","대기","대기","2022-07-22 01:58:37","2022-07-22 01:58:50","2022-07-22 01:58:52","2022-07-22 01:58:52","","","","","","","대기","대기","","","","","None","","","","15713889","15713890","mamex\mamex","29.97","2022-07-22 01:53:38","","아니오","아니오","","","","대기",
" 78","2022-07-22 01:51:12","2022-07-22","해외지국","20220722V91025","수정_20220713_두바이_우수경_케냐 인터뷰3_웹하드_원본영상","","","인터뷰","00:10:38:28","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-05","","금요일","0","없음","2022-07-22 01:51:03","","","","2022-07-22 01:51:03","","","대기","대기","2022-07-22 01:54:05","2022-07-22 01:57:32","2022-07-22 01:58:11","2022-07-22 01:58:11","","","","","","","대기","대기","","","","","None","","","","15713883","15713884","mamex\mamex","29.97","2022-07-22 01:51:03","","아니오","아니오","","","","대기",
" 79","2022-07-22 01:48:02","2022-07-22","해외지국","20220722V91003","수정_20220712_두바이_우수경_케냐 인터뷰2_웹하드_원본영상","","","인터뷰","00:35:13;25","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-05","","금요일","0","없음","2022-07-22 01:20:09","","","","2022-07-22 01:20:09","","","대기","대기","2022-07-22 01:47:32","2022-07-22 01:48:06","2022-07-22 01:48:07","2022-07-22 01:48:07","","","","","","","대기","대기","","","","","None","","","","15713837","15713838","mamex\mamex","29.97","2022-07-22 01:20:09","","아니오","아니오","","","","대기",
" 80","2022-07-22 01:30:13","2022-07-22","해외지국","20220722V91002","수정_20220711_두바이_우수경_케냐 인터뷰1_웹하드_원본영상","","","인터뷰","00:14:57;12","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-05","","금요일","0","없음","2022-07-22 01:18:25","","","","2022-07-22 01:18:25","","","대기","대기","2022-07-22 01:30:00","2022-07-22 01:30:17","2022-07-22 01:30:17","2022-07-22 01:30:17","","","","","","","대기","대기","","","","","None","","","","15713835","15713836","mamex\mamex","29.97","2022-07-22 01:18:25","","아니오","아니오","","","","대기",
" 81","2022-07-21 20:18:09","2022-07-21","해외지국","20220721V90651","[편집용]220721_두바이_우수경_특파원보고_케냐_웹하드_원본영상","","","","00:08:39;08","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-04","","목요일","0","없음","2022-07-21 20:12:02","","","","2022-07-21 20:12:02","","","대기","대기","2022-07-21 20:17:54","2022-07-21 20:18:11","2022-07-21 20:18:15","2022-07-21 20:18:15","","","","","","","대기","대기","","","","","None","","","","15713094","15713095","mamex\mamex","29.97","2022-07-21 20:12:02","","아니오","아니오","","","","대기",
" 82","2022-07-20 00:11:23","2022-07-19","해외지국","20220720V86609","베를린_김귀수_드미트로 쿨레바 우크라이나 외교부장관 화상 인터뷰 고화질_웹하드_원본영상","","","","00:16:08;09","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-03","","수요일","0","없음","2022-07-20 00:01:10","","","","2022-07-20 00:01:10","","","대기","대기","2022-07-20 00:11:14","2022-07-20 00:11:27","2022-07-20 00:11:27","2022-07-20 00:11:27","","","","","","","대기","대기","","","","","None","","","","15704274","15704275","mamex\mamex","29.97","2022-07-20 00:01:10","","아니오","아니오","","","","대기",
" 83","2022-07-19 23:42:32","2022-07-19","해외지국","20220719V86595","베를린_김귀수_드미트로 쿨레바 우크라이나 외교부장관 화상 인터뷰 스케치_웹하드_원본영상","","","","00:01:25;27","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 23:41:18","","","","2022-07-19 23:41:18","","","대기","대기","2022-07-19 23:42:31","2022-07-19 23:42:36","2022-07-19 23:42:37","2022-07-19 23:42:37","","","","","","","대기","대기","","","","","None","","","","15704246","15704247","mamex\mamex","29.97","2022-07-19 23:41:18","","아니오","아니오","","","","대기",
" 84","2022-07-19 23:50:46","2022-07-19","해외지국","20220719V86594","베를린_김귀수_드미트로 쿨레바 우크라이나 외교부장관 화상 인터뷰_ZOOM_웹하드_원본영상","","","","00:16:17;20","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 23:41:11","","","","2022-07-19 23:41:11","","","대기","대기","2022-07-19 23:50:29","2022-07-19 23:50:49","2022-07-19 23:50:52","2022-07-19 23:50:52","","","","","","","대기","대기","","","","","None","","","","15704244","15704245","mamex\mamex","29.97","2022-07-19 23:41:11","","아니오","아니오","","","","대기",
" 85","2022-07-17 03:26:33","2022-07-17","해외지국","20220717V81549","베를린_김귀수_대마초 박람회 온마이크_웹하드_원본영상","","","","00:00:14;28","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","클로징","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-31","","일요일","0","없음","2022-07-17 03:26:08","","","","2022-07-17 03:26:08","","","대기","대기","2022-07-17 03:26:21","2022-07-17 03:26:33","2022-07-17 03:26:33","2022-07-17 03:26:33","","","","","","","대기","대기","","","","","None","","","","15693408","15693409","","29.97","2022-07-17 03:26:08","","아니오","아니오","","","","대기",
" 86","2022-07-17 03:40:36","2022-07-17","해외지국","20220717V81548","베를린_김귀수_대마초 박람회 스케치 및 인터뷰 및 온마이크_웹하드_원본영상","","","","00:20:47;06","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-07-31","","일요일","0","없음","2022-07-17 03:25:25","","","","2022-07-17 03:25:25","","","대기","대기","2022-07-17 03:40:09","2022-07-17 03:40:36","2022-07-17 03:40:39","2022-07-17 03:40:39","","","","","2022-07-21 17:31:36","2022-07-21 17:31:59","대기","대기","","","","","None","","","","15693406","15693407","","29.97","2022-07-17 03:25:25","","예","아니오","","","","대기",
" 87","2022-07-16 14:46:12","2022-07-16","해외지국","20220716V80889","도쿄_21시_박원기_윤덕민 주일 대사 착임 스케치 및 모두발언_웹하드_원본영상","","","","00:14:09;08","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","고응용","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-07-30","","토요일","0","없음","2022-07-16 14:34:59","","","","2022-07-16 14:34:59","","","대기","대기","2022-07-16 14:45:55","2022-07-16 14:46:14","2022-07-16 14:46:14","2022-07-16 14:46:14","","","","","2022-07-21 17:32:27","2022-07-21 17:32:58","대기","대기","","","","","None","","","","15691975","15691976","","29.97","2022-07-16 14:34:59","","예","아니오","","","","대기",
" 88","2022-07-15 01:08:03","2022-07-15","해외지국","20220715V77981","두바이_우수경_케냐 스케치3_웹하드_원본영상","","","","00:48:26:10","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-07-29","","금요일","0","없음","2022-07-15 01:07:56","","","","2022-07-15 01:07:56","","","대기","대기","2022-07-15 01:27:20","2022-07-15 01:42:44","2022-07-15 01:45:11","2022-07-15 01:45:12","","","","","2022-07-18 09:38:37","2022-07-18 09:39:59","대기","대기","","","","","None","","","","15685709","15685710","mamex\mamex","29.97","2022-07-15 01:07:56","","예","아니오","","","","대기",
" 89","2022-07-14 19:51:38","2022-07-14","해외지국","20220714V77538","두바이_우수경_케냐_인터뷰3_웹하드_원본영상","","","인터뷰","00:10:38;28","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-28","","목요일","0","없음","2022-07-14 19:40:41","","","","2022-07-14 19:40:41","","","대기","대기","2022-07-14 19:51:15","2022-07-14 19:51:41","2022-07-14 19:51:41","2022-07-14 19:51:41","","","","","","","대기","대기","","","","","None","","","","15684679","15684680","","29.97","2022-07-14 19:40:41","","아니오","아니오","","","","대기",
" 90","2022-07-14 20:12:29","2022-07-14","해외지국","20220714V77535","두바이_우수경_케냐_인터뷰2_웹하드_원본영상","","","인터뷰","00:35:13;25","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-28","","목요일","0","없음","2022-07-14 19:40:18","","","","2022-07-14 19:40:18","","","대기","대기","2022-07-14 20:12:04","2022-07-14 20:12:32","2022-07-14 20:12:32","2022-07-14 20:12:32","","","","","","","대기","대기","","","","","None","","","","15684675","15684676","","29.97","2022-07-14 19:40:18","","아니오","아니오","","","","대기",
" 91","2022-07-14 20:04:57","2022-07-14","해외지국","20220714V77492","두바이_우수경_케냐_스케치 2_웹하드_원본영상","","","","00:48:55;28","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-07-28","","목요일","0","없음","2022-07-14 19:23:19","","","","2022-07-14 19:23:19","","","대기","대기","2022-07-14 20:04:24","2022-07-14 20:05:00","2022-07-14 20:05:03","2022-07-14 20:05:03","","","","","2022-07-15 10:04:55","2022-07-15 10:05:46","대기","대기","","","","","None","","","","15684588","15684589","","29.97","2022-07-14 19:23:19","","예","아니오","","","","대기",
" 92","2022-07-14 08:22:52","2022-07-14","해외지국","20220714V76098","뉴욕_한보경_마크 잔디 인터뷰 8번째 질문 편집_웹하드_원본영상","","","-마크 잔디(Mark Zandi)무디스 애널리스틱스 수석 이코노미스트","00:00:19;04","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-28","","목요일","0","없음","2022-07-14 08:22:27","","","","2022-07-14 08:22:27","","","대기","대기","2022-07-14 08:22:41","2022-07-14 08:22:53","2022-07-14 08:22:53","2022-07-14 08:22:53","","","","","","","대기","대기","","","","","None","","","","15681521","15681522","","29.97","2022-07-14 08:22:27","","아니오","아니오","","","","대기",
" 93","2022-07-14 06:31:31","2022-07-14","해외지국","20220714V76029","뉴욕_한보경_마크 잔디 화상 인터뷰 인서트_웹하드_원본영상","","","-마크 잔디(Mark Zandi) 무디스 애널리스틱스 수석 이코노미스트","00:00:35;23","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-28","","목요일","0","없음","2022-07-14 06:30:55","","","","2022-07-14 06:30:55","","","대기","대기","2022-07-14 06:31:19","2022-07-14 06:31:32","2022-07-14 06:31:32","2022-07-14 06:31:32","","","","","","","대기","대기","","","","","None","","","","15681376","15681377","","29.97","2022-07-14 06:30:55","","아니오","아니오","","","","대기",
" 94","2022-07-14 05:10:52","2022-07-14","해외지국","20220714V75922","뉴욕_한보경_마크 잔디 화상 인터뷰 3번째 질문 편집_웹하드_원본영상","","","-마크 잔디(Mark Zandi)무디스 애널리스틱스 수석 이코노미스트","00:00:30;23","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-28","","목요일","0","없음","2022-07-14 05:10:14","","","","2022-07-14 05:10:14","","","대기","대기","2022-07-14 05:10:39","2022-07-14 05:10:52","2022-07-14 05:10:52","2022-07-14 05:10:52","","","","","","","대기","대기","","","","","None","","","","15681160","15681161","","29.97","2022-07-14 05:10:14","","아니오","아니오","","","","대기",
" 95","2022-07-14 00:39:04","2022-07-14","해외지국","20220714V75464","뉴욕_한보경_마크 잔디 화상 인터뷰_ZOOM_웹하드_원본영상","","","-마크 잔디(Mark Zandi) 화상 인터뷰 -줌(ZOOM) 녹화본
무디스 애널리스틱스 수석 이코노미스트","00:09:47;28","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-28","","목요일","0","없음","2022-07-14 00:32:41","","","","2022-07-14 00:32:41","","","대기","대기","2022-07-14 00:38:49","2022-07-14 00:39:07","2022-07-14 00:39:08","2022-07-14 00:39:08","","","","","","","대기","대기","","","","","None","","","","15680221","15680222","","29.97","2022-07-14 00:32:41","","아니오","아니오","","","","대기",
" 96","2022-07-13 18:54:36","2022-07-13","해외지국","20220713V74961","도쿄_박원기_온마이크_웹하드_원본영상","","","","00:00:24:14","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-27","","수요일","0","없음","2022-07-13 18:54:30","","","","2022-07-13 18:54:30","","","대기","대기","2022-07-13 18:54:45","2022-07-13 18:54:54","2022-07-13 18:55:01","2022-07-13 18:55:02","","","","","","","대기","대기","","","","","None","","","","15679089","15679090","mamex\mamex","29.97","2022-07-13 18:54:30","","아니오","아니오","","","","대기",
" 97","2022-07-12 16:30:43","2022-07-12","해외지국","20220712V72203","도쿄_아베 병원에서 자택으로 운구차 이동_웹하드_원본영상","","","아베 병원에서 자택으로 운구차 이동","00:06:52;22","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-07-26","","화요일","0","없음","2022-07-12 16:25:16","","","","2022-07-12 16:25:16","","","대기","대기","2022-07-12 16:30:33","2022-07-12 16:30:46","2022-07-12 16:30:47","2022-07-12 16:30:47","","","","","2022-07-13 10:58:45","2022-07-13 10:58:58","대기","대기","","","","","None","","","","15673130","15673131","","29.97","2022-07-12 16:25:16","","예","아니오","","","","대기",
" 98","2022-07-12 05:13:24","2022-07-12","해외지국","20220712V71151","뉴욕_브라이언트 파크 스케치(7월)_웹하드_원본영상","","","","00:04:11;25","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-07-26","","화요일","0","없음","2022-07-12 05:10:14","","","","2022-07-12 05:10:14","","","대기","대기","2022-07-12 05:13:03","2022-07-12 05:13:25","2022-07-12 05:13:25","2022-07-12 05:13:25","","","","","2022-07-13 11:18:32","2022-07-13 11:18:43","대기","대기","","","","","None","","","","15670899","15670900","","29.97","2022-07-12 05:10:14","","예","아니오","","","","대기",
" 99","2022-07-12 05:04:46","2022-07-12","해외지국","20220712V71115","두바이_우수경_케냐 인터뷰_웹하드_원본영상","","","녹취용","00:16:17;01","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-26","","화요일","0","없음","2022-07-12 04:51:26","","","","2022-07-12 04:51:26","","","대기","대기","2022-07-12 05:04:31","2022-07-12 05:04:46","2022-07-12 05:04:46","2022-07-12 05:04:46","","","","","","","대기","대기","","","","","None","","","","15670831","15670832","","29.97","2022-07-12 04:51:26","","아니오","아니오","","","","대기",
"100","2022-07-12 04:55:47","2022-07-12","해외지국","20220712V71114","케냐 거리 스케치(차량 달리샷)_웹하드_원본영상","","","","00:05:33;09","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-07-26","","화요일","0","없음","2022-07-12 04:50:39","","","","2022-07-12 04:50:39","","","대기","대기","2022-07-12 04:55:31","2022-07-12 04:55:47","2022-07-12 04:55:48","2022-07-12 04:55:48","","","","","2022-07-13 11:19:59","2022-07-13 11:20:12","대기","대기","","","","","None","","","","15670823","15670824","","29.97","2022-07-12 04:50:39","","예","아니오","","","","대기",
"101","2022-07-11 19:42:59","2022-07-11","해외지국","20220711V70403","도쿄_21시_지종익_아베 전 총리 사망_온마이크_녹취 및 회견 스케치_웹하드_원본영상","","","","00:06:18;19","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","양의정","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-25","","월요일","0","없음","2022-07-11 19:38:05","","","","2022-07-11 19:38:05","","","대기","대기","2022-07-11 19:42:48","2022-07-11 19:43:02","2022-07-11 19:43:02","2022-07-11 19:43:02","","","","","","","대기","대기","","","","","None","","","","15669326","15669327","","29.97","2022-07-11 19:38:05","","아니오","아니오","","","","대기",
"102","2022-07-11 19:29:29","2022-07-11","해외지국","20220711V70392","도쿄_21시_박원기_일본 참의원 선거 및 기시다 총리 회견_웹하드_원본영상","","","","00:00:20;03","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-25","","월요일","0","없음","2022-07-11 19:28:53","","","","2022-07-11 19:28:53","","","대기","대기","2022-07-11 19:29:19","2022-07-11 19:29:32","2022-07-11 19:29:32","2022-07-11 19:29:32","","","","","","","대기","대기","","","","","None","","","","15669301","15669302","","29.97","2022-07-11 19:28:53","","아니오","아니오","","","","대기",
"103","2022-07-09 18:32:02","2022-07-09","해외지국","20220709V67435","도쿄_박원기_기시다 총리 야마나시 선거 운동_웹하드_원본영상","박원기","","녹취용","00:00:36;28","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-23","","토요일","0","없음","2022-07-09 18:31:25","","","","2022-07-09 18:31:25","","","대기","대기","2022-07-09 18:31:53","2022-07-09 18:32:05","2022-07-09 18:32:05","2022-07-09 18:32:05","","","","","","","대기","대기","","","","","None","","","","15662624","15662625","","29.97","2022-07-09 18:31:25","","아니오","아니오","","","","대기",
"104","2022-07-09 08:01:36","2022-07-09","해외지국","20220709V67079","베를린_김귀수_캠퍼스에서 소녀상을_웹하드_원본영상","","","","00:16:41;27","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-23","","토요일","0","없음","2022-07-09 07:50:11","","","","2022-07-09 07:50:11","","","대기","대기","2022-07-09 08:01:18","2022-07-09 08:01:37","2022-07-09 08:01:39","2022-07-09 08:01:39","","","","","","","대기","대기","","","","","None","","","","15661686","15661687","","29.97","2022-07-09 07:50:11","","아니오","아니오","","","","대기",
"105","2022-07-09 05:21:04","2022-07-09","해외지국","20220709V66986","뉴욕_한보경_MIZUHO SECURITIES USA, U.S. CHIEF ECONOMIST, STEVEN RICCHIUTO_웹하드_원본영상","","","","00:06:52;12","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-23","","토요일","0","없음","2022-07-09 05:16:51","","","","2022-07-09 05:16:51","","","대기","대기","2022-07-09 05:20:42","2022-07-09 05:21:05","2022-07-09 05:21:05","2022-07-09 05:21:05","","","","","","","대기","대기","","","","","None","","","","15661497","15661498","","29.97","2022-07-09 05:16:51","","아니오","아니오","","","","대기",
"106","2022-07-07 18:51:03","2022-07-07","해외지국","20220707V63507","도쿄_19시_박원기_일본 코로나 재유행 현실화 우려 온마이크_웹하드_원본영상","","","","00:00:18;07","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-21","","목요일","0","없음","2022-07-07 18:50:36","","","","2022-07-07 18:50:36","","","대기","대기","2022-07-07 18:50:52","2022-07-07 18:51:06","2022-07-07 18:51:06","2022-07-07 18:51:06","","","","","","","대기","대기","","","","","None","","","","15653907","15653908","","29.97","2022-07-07 18:50:36","","아니오","아니오","","","","대기",
"107","2022-07-02 07:35:34","2022-07-02","해외지국","20220702V53878","베를린_김귀수_120년만의 만남 대한제국 애국가 스케치 인터뷰_웹하드_원본영상","","","","00:19:56;21","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","고응용","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-16","","토요일","0","없음","2022-07-02 07:22:16","","","","2022-07-02 07:22:16","","","대기","대기","2022-07-02 07:35:05","2022-07-02 07:35:35","2022-07-02 07:35:37","2022-07-02 07:35:37","","","","","","","대기","대기","","","","","None","","","","15632482","15632483","","29.97","2022-07-02 07:22:16","","아니오","아니오","","","","대기",
"108","2022-07-02 07:22:28","2022-07-02","해외지국","20220702V53872","베를린_김귀수_120년만의 만남 대한제국애국가 풀영상_웹하드_원본영상","","","","00:23:20;03","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","고응용","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-07-16","","토요일","0","없음","2022-07-02 07:07:32","","","","2022-07-02 07:07:32","","","대기","대기","2022-07-02 07:22:05","2022-07-02 07:22:29","2022-07-02 07:22:29","2022-07-02 07:22:29","","","","","","","대기","대기","","","","","None","","","","15632468","15632469","","29.97","2022-07-02 07:07:32","","아니오","아니오","","","","대기",
"109","2022-04-15 15:13:21","2022-04-07","해외지국","20220415V10748","부분사용금지_폴란드_신지수_다시 모국으로 돌아가는 우크라이나인 취재 01_모자이크 요망_MNG_원본영상","신지수","김정은","-어린이들이 든 풍선 중에 중국 사이비 종교 파운궁 마크 적힌 풍선 있음 혹시라도 보이면 모자이크 요망 -여자 bullshit 욕설 사용 금지 -메디카 국경검문소 부근 -Timofiy Prikmeta 녹취 -폴란드-우크라이나 국경검문소 스케치 -검문소 향하는 사람들 스케치 -Lucy olinyk 녹취 -Lucy 인터뷰이 검문소 가는 모습 스케치 -메디카 검문소 앞 풍경 스케치 -david dusk barashi 광대 녹취 -david dusk barashi 광대 봉사 스케치 -olga  kyrychenko 녹취 -olga  kyrychenko 가족 짐 챙겨서 떠나는 모습 스케치 -다른 지역가는 버스 타기 위해 기다리는 난민들 스케치 -가족들과 작별 인사하는 기자 스케치 -우크라이나로 향하는 차에 인터뷰 시도하는 기자 스케치 -차량 인터뷰 01 -우크라이나로 돌아가는 차량 행렬 스케치 -차량 인터뷰 02","00:34:50;21","원본보관용","FILE 인제스트","예","부분사용금지 및 모자이크 요망","성공","성공","성공","원본영상-국제","","","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-04-29","","목요일","0","없음","2022-04-15 14:52:19","","","","2022-04-15 14:52:19","","","대기","대기","2022-04-15 14:54:13","2022-04-15 15:13:26","2022-04-15 15:22:07","2022-04-15 15:22:07","","","","","","","대기","대기","","","2022-04-15 14:53:19","2222-04-15 14:53:21","None","","","","15316652","15316653","mamex\mamex","29.97002997003","2022-04-15 14:52:19","","아니오","아니오","","","","대기",
"110","2022-04-05 02:57:31","2022-04-05","해외지국","20220405V91023","워싱턴_노규덕, 성 김 기자 브리핑 02_웹하드_원본영상","","","-노규덕 외교부 한반도평화교섭본부장, 성 김 미 국무부 대북특별대표","00:10:48:16","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","정재숙","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-04-19","","화요일","0","없음","2022-04-05 02:57:27","","","","2022-04-05 02:57:27","","","대기","대기","2022-04-05 03:00:42","2022-04-05 03:04:03","2022-04-05 03:04:43","2022-04-05 03:04:44","","","","","","","대기","대기","","","","","None","","","","15272006","15272007","mamex\mamex","29.97","2022-04-05 02:57:27","","아니오","아니오","","","","대기",
