"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
" 23","2022-08-11 06:46:26","2022-08-11","해외지국","20220811V27417","두바이_우수경_주 아프간 대사 인터뷰_웹하드_원본영상","","","","00:08:10;22","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 06:39:02","","","","2022-08-11 06:39:02","","","대기","대기","2022-08-11 06:46:08","2022-08-11 06:46:27","2022-08-11 06:46:28","2022-08-11 06:46:28","","","","","","","대기","대기","","","","","None","","","","15792515","15792516","mamex\mamex","29.97","2022-08-11 06:39:02","","아니오","아니오","","","","대기",
" 24","2022-08-11 06:57:13","2022-08-11","해외지국","20220811V27410","두바이_우수경_카타르월드컵_웹하드_원본영상","","","","00:24:28;24","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 06:37:42","","","","2022-08-11 06:37:42","","","대기","대기","2022-08-11 06:56:55","2022-08-11 06:57:13","2022-08-11 06:57:20","2022-08-11 06:57:20","","","","","","","대기","대기","","","","","None","","","","15792507","15792508","mamex\mamex","29.97","2022-08-11 06:37:42","","아니오","아니오","","","","대기",
" 25","2022-08-11 04:53:27","2022-08-11","해외지국","20220811V27287","뉴욕_광장_한보경_온마이크_웹하드_원본영상","","","","00:00:23;20","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 04:53:01","","","","2022-08-11 04:53:01","","","대기","대기","2022-08-11 04:53:16","2022-08-11 04:53:28","2022-08-11 04:53:28","2022-08-11 04:53:28","","","","","","","대기","대기","","","","","None","","","","15792232","15792233","mamex\mamex","29.97","2022-08-11 04:53:01","","아니오","아니오","","","","대기",
" 26","2022-08-11 03:03:23","2022-08-11","해외지국","20220811V27205","뉴욕_한보경_7월27일 FOMC 파월발언_웹하드_원본영상","","","","00:00:25;05","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 03:02:46","","","","2022-08-11 03:02:46","","","대기","대기","2022-08-11 03:03:11","2022-08-11 03:03:23","2022-08-11 03:03:23","2022-08-11 03:03:23","","","","","","","대기","대기","","","","","None","","","","15792063","15792064","mamex\mamex","29.97","2022-08-11 03:02:46","","아니오","아니오","","","","대기",
" 27","2022-08-10 17:04:45","2022-08-02","Download","20220810V26212","국민대학교 김건희 여사 논문 표절 재조사 결과 발표 관련 취재 01_특수촬영_원본영상 [모자이크]","","","-이메일 주소 모자이크 요망 -문서 스케치
- 전승규 교수 모자이크
","00:03:55:19","","리스토어","아니오","","성공","성공","성공","원본영상-국제","이현모","","미정리","","","","성공","완료","대기","미작성","아니오","아니오","HD","한국어","","","2022-08-24","","Download","0","없음","2022-08-02 10:11:38","","","","2022-08-02 10:11:38","","서정혁","대기","대기","2022-08-03 08:03:04","2022-08-03 08:04:38","2022-08-03 08:04:54","2022-08-03 08:04:55","","","","","","","대기","대기","","","","","None","","","","15789792","15789793","mamex\mamex","29.97","2022-08-10 17:04:33","","아니오","아니오","","","","대기",
" 28","2022-08-10 08:51:26","2022-08-10","해외지국","20220810V25145","뉴욕_뉴욕 달러 스토어 스케치_웹하드_원본영상","","","","00:06:10;00","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","       ","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-24","","수요일","0","없음","2022-08-10 08:46:22","","","","2022-08-10 08:46:22","","","대기","대기","2022-08-10 08:51:14","2022-08-10 08:51:27","2022-08-10 08:51:29","2022-08-10 08:51:29","","","","","2022-08-11 09:21:48","2022-08-11 09:22:02","대기","대기","","","","","None","","","","15787725","15787726","mamex\mamex","29.97","2022-08-10 08:46:22","","예","아니오","","","","대기",
" 29","2022-08-10 08:51:04","2022-08-10","해외지국","20220810V25144","뉴욕_뉴욕 달러 스토어 스케치_웹하드_원본영상","","","","00:06:10;00","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","       ","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-24","","수요일","0","없음","2022-08-10 08:45:59","","","","2022-08-10 08:45:59","","","대기","대기","2022-08-10 08:50:51","2022-08-10 08:51:05","2022-08-10 08:51:08","2022-08-10 08:51:08","","","","","","","대기","대기","","","","","None","","","","15787721","15787722","mamex\mamex","29.97","2022-08-10 08:45:59","","아니오","아니오","","","","대기",
" 30","2022-08-10 06:36:06","2022-08-10","해외지국","20220810V25147","뉴욕_뉴욕 달러 스토어 스케치_웹하드_원본영상","","","","00:06:10:00","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","       ","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-24","","수요일","0","없음","2022-08-10 06:36:02","","","","2022-08-10 06:36:02","","","대기","대기","2022-08-10 06:39:17","2022-08-10 06:41:22","2022-08-10 06:41:50","2022-08-10 06:41:51","","","","","2022-08-10 08:15:52","2022-08-10 08:16:01","대기","대기","","","","","None","","","","15787499","15787500","mamex\mamex","29.97","2022-08-10 06:36:02","","예","아니오","","","","대기",
" 31","2022-08-09 15:47:08","2018-08-13","KDAS","20220809V23501","평양 국제유소년 축구대회_평양 시내 부감 01-03_웹하드_원본영상","","윤성구","-4회 아리스포츠컵 국제유소년 U15 축구대회 -평양 시내 부감 전경 분수 다리 스케치","00:18:05:26","","KDAS","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-23","","KDAS","0","없음","2022-08-09 15:47:05","","","","2022-08-09 15:47:05","","","대기","대기","2022-08-09 15:49:23","2022-08-09 15:53:32","2022-08-09 15:54:27","2022-08-09 15:54:28","","","","","","","대기","대기","","","","","None","","","","15783961","15783962","mamex\mamex","29.97","2022-08-09 15:47:05","","예","아니오","","","","대기",
" 32","2022-08-09 15:48:03","2018-08-15","KDAS","20220809V23500","평양 국제유소년 축구대회_대동강에서 본 평양 야경_웹하드_원본영상","","윤성구","-4회 아리스포츠컵 국제유소년 U15 축구대회 -평양시내 건물 야경 스케치","00:04:58:22","","KDAS","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-23","","KDAS","0","없음","2022-08-09 15:47:00","","","","2022-08-09 15:47:00","","","대기","대기","2022-08-09 15:48:34","2022-08-09 15:50:14","2022-08-09 15:50:34","2022-08-09 15:50:34","","","","","","","대기","대기","","","","","None","","","","15783959","15783960","mamex\mamex","29.97","2022-08-09 15:47:00","","예","아니오","","","","대기",
" 33","2022-08-09 15:46:03","2018-08-13","KDAS","20220809V23494","평양 국제유소년 축구대회_평양 해질녘 미속 스케치_웹하드_원본영상","","윤성구","-4회 아리스포츠컵 국제유소년 U15 축구대회 -평양 주간 야간 부감 미속 스케치","00:02:08:11","","KDAS","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-23","","KDAS","0","없음","2022-08-09 15:46:00","","","","2022-08-09 15:46:00","","","대기","대기","2022-08-09 15:46:13","2022-08-09 15:46:44","2022-08-09 15:46:54","2022-08-09 15:46:54","","","","","","","대기","대기","","","","","None","","","","15783947","15783948","mamex\mamex","29.97","2022-08-09 15:46:00","","예","아니오","","","","대기",
" 34","2022-08-08 19:09:47","2022-08-08","해외지국","20220808V21619","도쿄_19시_박원기_윤덕민 주일대사 현금화 동결 통한 외교 공관 만들어야 녹취 교체용_웹하드_원본영상","","","","00:00:18;11","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-22","","월요일","0","없음","2022-08-08 19:09:22","","","","2022-08-08 19:09:22","","","대기","대기","2022-08-08 19:09:38","2022-08-08 19:09:50","2022-08-08 19:09:51","2022-08-08 19:09:51","","","","","","","대기","대기","","","","","None","","","","15779951","15779952","mamex\mamex","29.97","2022-08-08 19:09:22","","아니오","아니오","","","","대기",
" 35","2022-08-08 18:59:02","2019-03-29","KDAS","20220808V21561","총리 이낙연 국무총리 해외순방_중국_SK 하이닉스 충칭 공장 방문_웹하드_원본영상","","","-스케치","00:10:27:22","","KDAS","아니오","","성공","성공","성공","원본영상-국제","이현모","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-22","","KDAS","0","없음","2022-08-08 18:57:59","","","","2022-08-08 18:57:59","","","대기","대기","2022-08-08 18:59:45","2022-08-08 19:03:23","2022-08-08 19:04:01","2022-08-08 19:04:01","","","","","","","대기","대기","","","","","None","","","","15779830","15779831","mamex\mamex","29.97","2022-08-08 18:57:59","","예","아니오","","","","대기",
